Distrito;Nome;display_name;media;RENDP2010
355030801;Agua Rasa;UberX;188;1354,8
355030802;Alto de Pinheiros;UberX;185;3984,34
355030803;Anhanguera;UberX;471;528,11
355030804;Aricanduva;UberX;188;794,9
355030805;Artur Alvim;UberX;183;740,13
355030806;Barra Funda;UberX;196;2698,12
355030807;Bela Vista;UberX;183;2546,22
355030808;Belém;UberX;204;1319,11
355030809;Bom Retiro;UberX;211;933,15
355030810;Brás;UberX;221;969,1
355030811;Brasilândia;UberX;494;502,19
355030812;Butantã;UberX;243;2105,73
355030813;Cachoeirinha;UberX;417;688,68
355030814;Cambuci;UberX;197;1722,16
355030815;Campo Belo;UberX;187;3231,32
355030816;Campo Grande;UberX;213;1769,23
355030817;Campo Limpo;UberX;219;722,39
355030818;Cangaiba;UberX;249;690,16
355030819;Capão Redondo;UberX;220;541,48
355030820;Carrão;UberX;175;1236,33
355030821;Casa Verde;UberX;193;1127,91
355030822;Cidade Ademar;UberX;230;648,91
355030823;Cidade Dutra;UberX;268;687,45
355030824;Cidade Lider;UberX;218;690,34
355030825;Cidade Tiradentes;UberX;279;407,03
355030826;Consolação;UberX;187;3787,88
355030827;Cursino;UberX;223;1487,73
355030828;Ermelino Matarazzo;UberX;234;635,16
355030829;Freguesia do Ó;UberX;222;975,95
355030830;Grajaú;UberX;575;450,7
355030831;Guaianases;UberX;245;515,6
355030833;Iguatemi;UberX;381;426,41
355030834;Ipiranga;UberX;187;1526,75
355030835;Itaim Bibi;UberX;185;4134,27
355030836;Itaim Paulista;UberX;220;435,01
355030837;Itaquera;UberX;188;620,46
355030838;Jabaquara;UberX;208;1233,39
355030839;Jaçanã;UberX;220;707,65
355030840;Jaguara;UberX;220;979,61
355030841;Jaguaré;UberX;219;1212,47
355030842;Jaraguá;UberX;352;558,07
355030843;Jardim Ângela;UberX;357;427,48
355030844;Jardim Helena;UberX;232;416,47
355030845;Jardim Paulista;UberX;182;4706,67
355030846;Jardim São Luís;UberX;307;599,11
355030847;José Bonifácio;UberX;259;570,02
355030896;Lajeado;UberX;231;412,35
355030848;Lapa;UberX;187;2463,04
355030849;Liberdade;UberX;191;2101,8
355030850;Limão;UberX;200;957,94
355030851;Mandaqui;UberX;354;1264,58
355030852;Marsilac;UberX;971;347,37
355030832;Moema;UberX;180;4967,83
355030853;Mooca;UberX;196;1891,78
355030854;Morumbi;UberX;220;4085,4
355030855;Parelheiros;UberX;694;404,18
355030856;Pari;UberX;196;963,3
355030857;Parque do Carmo;UberX;264;673,22
355030858;Pedreira;UberX;334;523,53
355030859;Penha;UberX;179;1030,15
355030860;Perdizes;UberX;177;3300,27
355030861;Perus;UberX;365;473,22
355030862;Pinheiros;UberX;180;3727,36
355030863;Pirituba;UberX;254;965,08
355030864;Ponte Rasa;UberX;174;771,61
355030865;Raposo Tavares;UberX;269;791,42
355030866;República;UberX;206;1529,97
355030867;Rio Pequeno;UberX;242;1348,58
355030868;Sacomã;UberX;216;913,19
355030869;Santa Cecília;UberX;198;2229,71
355030870;Santana;UberX;197;2026,32
355030871;Santo Amaro;UberX;199;3033,75
355030895;São Domingos;UberX;240;931,27
355030872;São Lucas;UberX;207;880,15
355030873;São Mateus;UberX;214;607,69
355030874;São Miguel;UberX;199;602,38
355030875;São Rafael;UberX;315;451,95
355030876;Sapopemba;UberX;217;544,94
355030877;Saúde;UberX;173;2569,83
355030878;Sé;UberX;231;909,48
355030879;Socorro;UberX;219;1867,74
355030880;Tatuapé;UberX;173;2158,82
355030881;Tremembé;UberX;499;720,45
355030882;Tucuruvi;UberX;199;1278,74
355030883;Vila Andrade;UberX;227;1959,59
355030884;Vila Curuçá;UberX;201;503,43
355030885;Vila Formosa;UberX;192;1259,87
355030886;Vila Guilherme;UberX;188;1212,16
355030887;Vila Jacuí;UberX;197;537,57
355030888;Vila Leopoldina;UberX;208;2942,63
355030889;Vila Maria;UberX;199;821,8
355030890;Vila Mariana;UberX;179;3757,39
355030891;Vila Matilde;UberX;175;985,87
355030892;Vila Medeiros;UberX;191;723,93
355030893;Vila Prudente;UberX;199;1188,42
355030894;Vila Sônia;UberX;218;1759,48
